chr_clinical_care_id,fips_code,uninsured,uninsured_numerator,uninsured_denominator,primary_care_physicians,primary_care_physicians_numerator,primary_care_physicians_denominator,ratio_of_population_to_primary_care_physicians,dentists,dentists_numerator,dentists_denominator,ratio_of_population_to_dentists,mental_health_providers,mental_health_providers_numerator,mental_health_providers_denominator,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,uninsured_adults,uninsured_adults_numerator,uninsured_adults_denominator,uninsured_children,uninsured_children_numerator,uninsured_children_denominator,other_primary_care_providers,other_primary_care_providers_numerator,other_primary_care_providers_denominator,ratio_of_population_to_other_providers
a14be511,25003,0.033426124,3110,93041,0.001092524,138,126313,915.3115942,0.00090227,114,126348,1108.31579,0.008674455,1096,126348,115.2810219,3563,0.51,0.51,0.038938592,2816,72319,0.015093653,332,21996,0.001210941,153,126348,825.8039216
a14c71e8,53065,0.078533572,2682,34151,0.000693047,31,44730,1442.903226,0.000441891,20,45260,2263,0.003689792,167,45260,271.0179641,2958,0.29,0.29,0.096018451,2373,24714,0.033915312,338,9966,0.000707026,32,45260,1414.375
a151e76a,08019,0.055105772,422,7658,0.00010445,1,9574,9574,0.00041645,4,9605,2401.25,0.00041645,4,9605,2401.25,942,0.36,0.47,0.058307617,359,6157,0.042784164,67,1566,0.000208225,2,9605,4802.5
a182b5f4,08109,0.16948815,851,5021,0.000150921,1,6626,6626,0.000146135,1,6843,6843,0.000730674,5,6843,1368.6,1797,0.24,0.32,0.194556723,722,3711,0.098783107,138,1397,0.000146135,1,6843,6843
a190ed22,27171,0.040246285,4739,117750,0.000446808,60,134286,2238.1,0.000403377,55,136349,2479.072727,0.001114786,152,136349,897.0328947,5721,0.45,0.5,0.047492614,3810,80223,0.026084967,1026,39333,0.000513388,70,136349,1947.842857
a199c032,20209,0.154603436,21986,142209,0.000435603,72,165288,2295.666667,0.000423411,70,165324,2361.771429,0.001530328,253,165324,653.4545455,6670,0.4,0.45,0.199086674,19531,98103,0.057280943,2643,46141,0.001233941,204,165324,810.4117647
a19d9982,45049,0.122896201,1789,14557,0.000306091,6,19602,3267,0.000258385,5,19351,3870.2,0.000775154,15,19351,1290.066667,6265,0.4,0.26,0.154650942,1626,10514,0.041871345,179,4275,0.000981861,19,19351,1018.473684
a19dbae1,19135,0.057954728,361,6229,0.000509879,4,7845,1961.25,0.000385109,3,7790,2596.666667,0.000256739,2,7790,3895,3190,0.43,0.42,0.06800091,299,4397,0.033924843,65,1916,0.000513479,4,7790,1947.5
a1ee8493,20173,0.113799458,49461,434633,0.000868233,446,513687,1151.764574,0.000628886,323,513607,1590.114551,0.002217649,1139,513607,450.928007,2686,0.42,0.5,0.14215543,43295,304561,0.049998168,6822,136445,0.001456366,748,513607,686.6403743
a2216fca,54005,0.071883734,1286,17890,0.000357958,8,22349,2793.625,0.00022778,5,21951,4390.2,0.000273336,6,21951,3658.5,10315,0.27,0.37,0.089002866,1180,13258,0.023819302,116,4870,0.001093344,24,21951,914.625
a239b700,51093,0.091695269,2725,29718,0.000465091,17,36552,2150.117647,0.000270614,10,36953,3695.3,0.000270614,10,36953,3695.3,4304,0.49,0.51,0.105829191,2342,22130,0.052834891,424,8025,0.000216491,8,36953,4619.125
a24cac3a,01025,0.119263663,2287,19176,0.0005398,13,24083,1852.538462,0.000292642,7,23920,3417.142857,0.000710702,17,23920,1407.058824,6299,0.38,0.28,0.15315508,2148,14025,0.028508772,156,5472,0.00062709,15,23920,1594.666667
a2537c9f,47151,0.113193904,2035,17978,0.000409296,9,21989,2443.222222,0.000317619,7,22039,3148.428571,0.000544489,12,22039,1836.583333,6827,0.4,0.42,0.143983759,1844,12807,0.038610039,210,5439,0.001088979,24,22039,918.2916667
a255c697,47127,0.095123901,476,5004,NULL,0,6384,NULL,NULL,0,6411,NULL,0.000155982,1,6411,6411,6769,0.37,0.46,0.112463615,425,3779,0.042748092,56,1310,0.000467946,3,6411,2137
a272f584,47097,0.119483639,2388,19986,0.0000791327,2,25274,12637,0.000193611,5,25825,5165,0.000154889,4,25825,6456.25,7005,0.34,0.45,0.154149086,2192,14220,0.035860488,219,6107,0.000813166,21,25825,1229.761905
a2751ef3,12087,0.20271795,12038,59383,0.000766104,59,77013,1305.305085,0.000599784,45,75027,1667.266667,0.00218588,164,75027,457.4817073,4066,0.32,0.35,0.222887781,10642,47746,0.122235923,1487,12165,0.000759727,57,75027,1316.263158
a28cbdff,37131,0.114915639,1621,14106,0.0000503474,1,19862,19862,0.00030494,6,19676,3279.333333,0.000508233,10,19676,1967.6,5886,0.5,0.49,0.13847445,1485,10724,0.042040359,150,3568,0.00030494,6,19676,3279.333333
a2ab4bd1,17109,0.071379952,1573,22037,0.00048665,15,30823,2054.866667,0.000300451,9,29955,3328.333333,0.002036388,61,29955,491.0655738,4206,0.36,0.47,0.08529967,1446,16952,0.027333581,147,5378,0.000767818,23,29955,1302.391304
a2ac508b,48311,0.198664441,119,599,0,0,778,-778,0,0,749,-749,0,0,749,-749,NULL,0.36,0.28,0.2,88,440,0.182352941,31,170,0.001335114,1,749,749
a2b44b77,31043,0.160588201,2752,17137,0.0000990786,2,20186,10093,0.000348554,7,20083,2869,0.002340288,47,20083,427.2978723,5034,0.5,0.44,0.20279962,2347,11573,0.075716235,444,5864,0.000398347,8,20083,2510.375
a2b90d52,39089,0.069137848,9850,142469,0.000438172,76,173448,2282.210526,0.000375493,66,175769,2663.166667,0.001268711,223,175769,788.2017937,4622,0.46,0.51,0.079288546,8140,102663,0.044396706,1860,41895,0.000426696,75,175769,2343.586667
a2ba8cf1,42081,0.066878728,5887,88025,0.000790576,90,113841,1264.9,0.000501478,57,113664,1994.105263,0.0016452,187,113664,607.828877,3375,0.55,0.51,0.074985804,4886,65159,0.044858724,1078,24031,0.001697987,193,113664,588.9326425
a2c3adab,04013,0.12081176,436313,3611511,0.000703501,3030,4307033,1421.463036,0.000668129,2947,4410824,1496.716661,0.001348954,5950,4410824,741.314958,3050,0.42,0.47,0.138663553,358039,2582070,0.07937849,85970,1083039,0.001057172,4663,4410824,945.9197941
a2c5430b,21041,0.076296129,674,8834,0.000373378,4,10713,2678.25,0.000372544,4,10737,2684.25,0.000558815,6,10737,1789.5,9367,0.38,0.38,0.091131001,560,6145,0.043847242,124,2828,0.001024495,11,10737,976.0909091
a2d3d03e,13049,0.157119283,1333,8484,0.000314589,4,12715,3178.75,0.0000771129,1,12968,12968,0.000154226,2,12968,6484,6592,0.43,0.39,0.194015127,1180,6082,0.066930693,169,2525,0.000694016,9,12968,1440.888889
a2f2a0a6,13181,0.164565473,979,5949,0.000253807,2,7880,3940,0.000126342,1,7915,7915,0.000379027,3,7915,2638.333333,4554,0.42,0.44,0.194226896,868,4469,0.0791321,124,1567,0.000126342,1,7915,7915
a31a6e85,41037,0.102667154,562,5474,0.00063589,5,7863,1572.6,0.000507679,4,7879,1969.75,0.001903795,15,7879,525.2666667,2490,0.32,0.25,0.122269646,487,3983,0.050064185,78,1558,0.000634598,5,7879,1575.8
a363709a,32003,0.132682448,246807,1860133,0.000549436,1211,2204079,1820.04872,0.000617033,1377,2231647,1620.658678,0.001979704,4418,2231647,505.1260752,4961,0.32,0.34,0.155521179,210720,1354928,0.075585141,40128,530898,0.000724129,1616,2231647,1380.969678
a3bd1efb,18121,0.117622951,1435,12200,0.000236883,4,16886,4221.5,0.000177232,3,16927,5642.333333,0.000531695,9,16927,1880.777778,6225,0.38,0.42,0.126554329,1089,8605,0.096423841,364,3775,0.000295386,5,16927,3385.4
a3bfe11d,05131,0.128592272,13661,106235,0.001287986,165,128107,776.4060606,0.000735795,94,127753,1359.074468,0.003287594,420,127753,304.1738095,4953,0.44,0.47,0.157905803,12016,76096,0.056562589,1788,31611,0.000837554,107,127753,1193.953271
a3db7349,29119,0.202625059,3844,18971,0.000131418,3,22828,7609.333333,0.000216657,5,23078,4615.6,0.000129994,3,23078,7692.666667,4969,0.31,0.34,0.247336834,3297,13330,0.099983252,597,5971,0.000476644,11,23078,2098
a3df89ac,55013,0.084199871,915,10867,0.000130276,2,15352,7676,0.000324844,5,15392,3078.4,0.001429314,22,15392,699.6363636,4924,0.4,0.34,0.092197722,761,8254,0.060715576,168,2767,0.000714657,11,15392,1399.272727
a3e7c95f,54011,0.087354342,6492,74318,0.001590177,151,94958,628.8609272,0.00057925,54,93224,1726.37037,0.002703167,252,93224,369.9365079,4904,0.37,0.45,0.10870962,6091,56030,0.02303812,443,19229,0.003035699,283,93224,329.4134276
a3f9e97d,36109,0.053467001,4160,77805,0.000839679,88,104802,1190.931818,0.000564241,58,102793,1772.293103,0.003706478,381,102793,269.7979003,3065,0.44,0.54,0.060080426,3765,62666,0.028461347,458,16092,0.001206308,124,102793,828.9758065
a3fbbaf7,53039,0.099715617,1648,16527,0.000687726,15,21811,1454.066667,0.000180938,4,22107,5526.75,0.001447505,32,22107,690.84375,3152,0.4,0.26,0.118807894,1475,12415,0.043187067,187,4330,0.000859456,19,22107,1163.526316
a40b6373,55127,0.085275137,7096,83213,0.000349237,36,103082,2863.388889,0.000462793,48,103718,2160.791667,0.0011377,118,103718,878.9661017,3337,0.48,0.54,0.097293189,6017,61844,0.051844643,1172,22606,0.000511001,53,103718,1956.943396
a40e5e18,31081,0.069773707,518,7424,0.000977517,9,9207,1023,0.000538793,5,9280,1856,0.000969828,9,9280,1031.111111,3419,0.44,0.54,0.082791587,433,5230,0.04130809,96,2324,0.000646552,6,9280,1546.666667
a430795f,18065,0.079731909,2867,35958,0.000391947,19,48476,2551.368421,0.000372895,18,48271,2681.722222,0.000828655,40,48271,1206.775,5367,0.41,0.41,0.0903243,2373,26272,0.05256998,539,10253,0.000890804,43,48271,1122.581395
a43e8162,19041,0.055564263,709,12760,0.000803958,13,16170,1243.846154,0.000929714,15,16134,1075.6,0.003780836,61,16134,264.4918033,3254,0.44,0.57,0.066340402,610,9195,0.028418231,106,3730,0.001487542,24,16134,672.25
a4404ed9,29067,0.152403992,1512,9921,0.000150376,2,13300,6650,0.00029911,4,13373,3343.25,0.00059822,8,13373,1671.625,4864,0.31,0.36,0.184896196,1327,7177,0.06866504,197,2869,0.000972108,13,13373,1028.692308
a451b185,45023,0.121628911,3157,25956,0.00024767,8,32301,4037.625,0.000155034,5,32251,6450.2,0.000403088,13,32251,2480.846154,6669,0.41,0.47,0.152440962,2879,18886,0.041016676,305,7436,0.000248054,8,32251,4031.375
a4caebc2,42053,0.067923302,209,3077,NULL,0,7297,NULL,NULL,0,7279,NULL,0.000412145,3,7279,2426.333333,6017,0.45,0.5,0.072863332,185,2539,0.043478261,25,575,0.000274763,2,7279,3639.5
a4ce16f9,35009,0.096027511,4049,42165,0.000481812,24,49812,2075.5,0.000829338,41,49437,1205.780488,0.005825596,288,49437,171.65625,3177,0.33,0.4,0.121389861,3539,29154,0.042666862,583,13664,0.000788883,39,49437,1267.615385
a4d6a0c3,27063,0.048913044,378,7728,NULL,0,9946,NULL,0.000403592,4,9911,2477.75,0.000908082,9,9911,1101.222222,5176,0.55,0.4,0.054941135,308,5606,0.034080718,76,2230,0.000605388,6,9911,1651.833333
a504b6e0,46003,0.154549832,321,2077,0.00036523,1,2738,2738,0,0,2801,-2801,0.000714031,2,2801,1400.5,4502,0.51,0.39,0.168493151,246,1460,0.122102009,79,647,0.000714031,2,2801,1400.5
a52faa45,26143,0.074754057,1193,15959,0.000418498,10,23895,2389.5,0.00041869,10,23884,2388.4,0.000753643,18,23884,1326.888889,3924,0.45,0.35,0.085641312,1073,12529,0.035911602,130,3620,0.001046726,25,23884,955.36
a53f1de6,22087,0.102299586,4155,40616,0.000216441,10,46202,4620.2,0.000278248,13,46721,3593.923077,0.003831254,179,46721,261.0111732,6139,0.3,0.33,0.133589923,3818,28580,0.029147804,367,12591,0.000449477,21,46721,2224.809524
a54202b1,46117,0.103976802,251,2414,0.000664231,2,3011,1505.5,0.000330907,1,3022,3022,0.000330907,1,3022,3022,3453,0.48,0.52,0.119118523,200,1679,0.0703125,54,768,0.000330907,1,3022,3022
a54dc0f1,20099,0.104949388,1690,16103,0.000694962,14,20145,1438.928571,0.000400721,8,19964,2495.5,0.000751352,15,19964,1330.933333,3663,0.34,0.36,0.124033701,1428,11513,0.05872622,284,4836,0.000901623,18,19964,1109.111111
a5502166,47107,0.121620974,5075,41728,0.000491707,26,52877,2033.730769,0.000394107,21,53285,2537.380952,0.000694379,37,53285,1440.135135,4365,0.46,0.44,0.151595052,4657,30720,0.040269035,467,11597,0.00093835,50,53285,1065.7
a5563e40,13001,0.191453567,2845,14860,0.000377949,7,18521,2645.857143,0.000162101,3,18507,6169,0.000756471,14,18507,1321.928571,7237,0.35,0.31,0.238209586,2480,10411,0.085183604,399,4684,0.000918571,17,18507,1088.647059
a55feb77,13073,0.112913575,14958,132473,0.001048958,159,151579,953.327044,0.000557388,86,154291,1794.081395,0.000784232,121,154291,1275.132231,3738,0.4,0.46,0.139921229,13038,93181,0.053170329,2192,41226,0.000602757,93,154291,1659.043011
a575ea42,17065,0.056848352,364,6403,0.000488162,4,8194,2048.5,0.000122504,1,8163,8163,0.000245008,2,8163,4081.5,7113,0.38,0.35,0.070468344,325,4612,0.02238806,42,1876,0.001102536,9,8163,907
a57bef07,20087,0.091431895,1415,15476,0.000473734,9,18998,2110.888889,0.000158103,3,18975,6325,0.000316206,6,18975,3162.5,3270,0.46,0.53,0.105787349,1179,11145,0.056999345,261,4579,0.000421607,8,18975,2371.875
a58a1f30,55019,0.16460775,4677,28413,0.000288359,10,34679,3467.9,0.000432165,15,34709,2313.933333,0.000345732,12,34709,2892.416667,4807,0.52,0.35,0.158329755,2950,18632,0.172558185,1772,10269,0.000547409,19,34709,1826.789474
a5b3c335,08063,0.149059589,848,5689,0.000558815,4,7158,1789.5,0.000139606,1,7163,7163,0.000837638,6,7163,1193.833333,4352,0.28,0.35,0.170293522,673,3952,0.100817439,185,1835,0.001116851,8,7163,895.375
a5c041b1,36097,0.05261675,747,14197,0.000611111,11,18000,1636.363636,0.000223314,4,17912,4478,0.001674855,30,17912,597.0666667,5738,0.49,0.49,0.061527057,664,10792,0.025783199,93,3607,0.000614113,11,17912,1628.363636
a5c15561,21191,0.060794756,742,12205,0.00020586,3,14573,4857.666667,0.000137656,2,14529,7264.5,0.000619451,9,14529,1614.333333,5710,0.36,0.48,0.06772864,608,8977,0.043159131,147,3406,0.000344139,5,14529,2905.8
a5e8ad22,22053,0.104362801,2727,26130,0.000444769,14,31477,2248.357143,0.000221645,7,31582,4511.714286,0.00193148,61,31582,517.7377049,7143,0.41,0.44,0.136030829,2471,18165,0.033253589,278,8360,0.000506618,16,31582,1973.875
a610a2f9,45047,0.144452502,7968,55160,0.001051809,74,70355,950.7432432,0.000523035,37,70741,1911.918919,0.003124072,221,70741,320.0950226,4430,0.46,0.5,0.181099587,7194,39724,0.053048444,864,16287,0.000904709,64,70741,1105.328125
a62029a6,13243,0.158863545,794,4998,0.000282686,2,7075,3537.5,NULL,0,6833,NULL,0.00102444,7,6833,976.1428571,6088,0.4,0.25,0.197160022,722,3662,0.055988661,79,1411,0.000585394,4,6833,1708.25
a634dee9,53073,0.075901095,13574,178838,0.000912359,202,221404,1096.059406,0.000704522,159,225685,1419.402516,0.00450185,1016,225685,222.1309055,2816,0.43,0.47,0.090120185,12275,136207,0.032375619,1457,45003,0.000793141,179,225685,1260.810056
a644bb99,25017,0.030072169,39769,1322452,0.001253317,2009,1602947,797.8830264,0.000984075,1589,1614714,1016.182505,0.00579855,9363,1614714,172.4569048,4616,0.54,0.56,0.035225648,35347,1003445,0.014661962,4924,335835,0.000946298,1528,1614714,1056.75
a6684fe0,19031,0.043117856,645,14959,0.000269644,5,18543,3708.6,0.000536855,10,18627,1862.7,0.00048317,9,18627,2069.666667,3405,0.49,0.44,0.049501293,536,10828,0.027413039,119,4341,0.000429484,8,18627,2328.375
a6725573,19011,0.050121608,1051,20969,0.000155994,4,25642,6410.5,0.000233991,6,25642,4273.666667,0.000194993,5,25642,5128.4,4164,0.56,0.32,0.058432051,878,15026,0.030215827,189,6255,0.000818969,21,25642,1221.047619
a67c30e7,05015,0.127796578,2719,21276,0.000572574,16,27944,1746.5,0.000283457,8,28223,3527.875,0.000779506,22,28223,1282.863636,3898,0.38,0.42,0.154052113,2359,15313,0.062838053,395,6286,0.000248025,7,28223,4031.857143
a6a791ad,31049,0.118065434,166,1406,0,0,1883,-1883,0.00109589,2,1825,912.5,NULL,0,1825,NULL,4910,0.35,0.28,0.131372549,134,1020,0.082089552,33,402,0,0,1825,-1825
a6aec62f,35023,0.100484262,332,3304,NULL,0,4305,NULL,0.001650943,7,4240,605.7142857,0.002122642,9,4240,471.1111111,3533,0.25,0.25,0.118325502,277,2341,0.06003937,61,1016,0.000943396,4,4240,1060
a6be9e59,05117,0.091533546,573,6260,0.000121242,1,8248,8248,0.000123854,1,8074,8074,0.000247709,2,8074,4037,6015,0.34,0.33,0.107158351,494,4610,0.049710983,86,1730,0.000495417,4,8074,2018.5
a6ce4840,37047,0.147646526,6192,41938,0.000375429,21,55936,2663.619048,0.00025155,14,55655,3975.357143,0.001239781,69,55655,806.5942029,6702,0.41,0.46,0.183362355,5581,30437,0.055500821,676,12180,0.000898392,50,55655,1113.1
a6f8d13d,06093,0.086399951,2801,32419,0.000752514,33,43853,1328.878788,0.000708993,31,43724,1410.451613,0.004391181,192,43724,227.7291667,3256,0.37,0.31,0.104269984,2481,23794,0.038807279,354,9122,0.000846217,37,43724,1181.72973
a710b479,19133,0.064649244,423,6543,0.000800915,7,8740,1248.571429,0.000345662,3,8679,2893,0.000691324,6,8679,1446.5,5289,0.39,0.16,0.07599492,359,4724,0.036250647,70,1931,0.001382648,12,8679,723.25
a7119bb2,42121,0.064454596,2568,39842,0.000560257,29,51762,1784.896552,0.000429134,22,51266,2330.272727,0.001482464,76,51266,674.5526316,5887,0.45,0.51,0.073494137,2206,30016,0.038231895,397,10384,0.001345921,69,51266,742.9855073
a73a2cf6,20179,0.195562436,379,1938,0.000395726,1,2527,2527,0.000394789,1,2533,2533,NULL,0,2533,NULL,8292,0.45,0.36,0.204647676,273,1334,0.174880763,110,629,0.001973944,5,2533,506.6
a751e373,04000,0.121022086,685974,5668172,0.000664598,4663,7016270,1504.668668,0.000615061,4411,7171646,1625.854908,0.001333585,9564,7171646,749.8584274,3096,0.41,0.44,0.139922692,568501,4062965,0.076914706,130048,1690808,0.000973835,6984,7171646,1026.867984
a7725001,36059,0.05327681,60098,1128033,0.001396846,1913,1369514,715.8985886,0.001207353,1640,1358343,828.2579268,0.003017647,4099,1358343,331.3839961,3588,0.45,0.52,0.062938865,52265,830409,0.027382065,8615,314622,0.001459867,1983,1358343,684.9939486
a79a4f5d,48419,0.245952529,5150,20939,0.000195979,5,25513,5102.6,0.000314738,8,25418,3177.25,0.000511449,13,25418,1955.230769,5265,0.29,0.42,0.30140512,4333,14376,0.131029518,910,6945,0.000786844,20,25418,1270.9
a7afc2e8,40001,0.245351325,4473,18231,0.000365147,8,21909,2738.625,0.000271715,6,22082,3680.333333,0.002354859,52,22082,424.6538462,10860,0.3,0.48,0.295692574,3755,12699,0.130987125,763,5825,0.000679286,15,22082,1472.133333
a7cf8de0,37137,0.127246585,1062,8346,0.000472851,6,12689,2114.833333,0.000315706,4,12670,3167.5,0.000789266,10,12670,1267,3806,0.57,0.57,0.146844472,947,6449,0.063429138,128,2018,0.00047356,6,12670,2111.666667
a800e362,37051,0.107752233,29738,275985,0.000751776,250,332546,1330.184,0.001035116,344,332330,966.0755814,0.003276863,1089,332330,305.1698806,6271,0.4,0.39,0.136899846,26854,196158,0.038395874,3216,83759,0.001886679,627,332330,530.0318979
a80e44c1,47035,0.126301316,5144,40728,0.000677071,40,59078,1476.95,0.000301644,18,59673,3315.166667,0.000318402,19,59673,3140.684211,3918,0.5,0.49,0.154919863,4717,30448,0.043778802,475,10850,0.000988722,59,59673,1011.40678
a8170289,47171,0.12334247,1665,13499,0.000394166,7,17759,2537,0.000281516,5,17761,3552.2,0.000168909,3,17761,5920.333333,6373,0.42,0.41,0.150204958,1539,10246,0.041111755,142,3454,0.000788244,14,17761,1268.642857
a81bc43c,51730,0.109935514,2847,25897,0.000692913,22,31750,1443.181818,0.000760288,24,31567,1315.291667,0.003928153,124,31567,254.5725807,7055,0.42,0.41,0.136469012,2649,19411,0.03213086,220,6847,0.001488897,47,31567,671.6382979
a8239916,35043,0.096876457,11429,117975,0.000610496,87,142507,1638.011494,0.000454611,66,145179,2199.681818,0.00335448,487,145179,298.1088296,2807,0.37,0.42,0.115934627,9761,84194,0.052942825,1889,35680,0.000626812,91,145179,1595.373626
a82544e3,16033,0.261904762,187,714,0,0,873,-873,0,0,852,-852,0,0,852,-852,NULL,0.38,0.39,0.32,160,500,0.129310345,30,232,0,0,852,-852
a8281169,36091,0.037728249,7118,188665,0.000665597,153,229869,1502.411765,0.000634333,146,230163,1576.458904,0.001651004,380,230163,605.6921053,4272,0.51,0.53,0.044185981,6257,141606,0.019468884,967,49669,0.000881984,203,230163,1133.807882
a833d743,08069,0.074209331,21174,285328,0.000880875,303,343976,1135.234323,0.000778847,273,350518,1283.948718,0.003463446,1214,350518,288.7298188,2433,0.46,0.54,0.083910381,18213,217053,0.045940826,3298,71788,0.001007081,353,350518,992.9688385
a84050ae,45061,0.11826754,1480,12514,0.000172911,3,17350,5783.333333,0.000116673,2,17142,8571,0.001050053,18,17142,952.3333333,7364,0.43,0.38,0.14881475,1356,9112,0.038375973,138,3596,0.000408354,7,17142,2448.857143
a84545fb,41061,0.078193131,1596,20411,0.000724582,19,26222,1380.105263,0.000604664,16,26461,1653.8125,0.003023317,80,26461,330.7625,3296,0.4,0.3,0.092527174,1362,14720,0.042303173,252,5957,0.00128491,34,26461,778.2647059
a8485a04,31071,0.107192255,155,1446,0.000496032,1,2016,2016,0.001006543,2,1987,993.5,NULL,0,1987,NULL,4873,0.36,0.28,0.11276794,121,1073,0.093434343,37,396,0.000503271,1,1987,1987
a869581a,48361,0.151173197,10811,71514,0.000211648,18,85047,4724.833333,0.000299143,25,83572,3342.88,0.000215383,18,83572,4642.888889,5826,0.35,0.43,0.182449182,9200,50425,0.080048761,1773,22149,0.000347006,29,83572,2881.793103
a86f3770,18153,0.094079211,1411,14998,0.000482021,10,20746,2074.6,0.000241663,5,20690,4138,0.000289995,6,20690,3448.333333,7678,0.3,0.42,0.105310694,1166,11072,0.063798937,264,4138,0.000483325,10,20690,2069
a87a7249,17043,0.063975947,50216,784920,0.001349277,1255,930128,741.1378486,0.001076903,1000,928589,928.589,0.002986251,2773,928589,334.868013,4037,0.44,0.52,0.076540716,43793,572153,0.031617909,7090,224240,0.000842138,782,928589,1187.453964
a89b5c64,47101,0.121592845,1142,9392,0.000166182,2,12035,6017.5,0.000330961,4,12086,3021.5,0.000413702,5,12086,2417.2,3266,0.37,0.39,0.15129955,1042,6887,0.041446873,110,2654,0.000661923,8,12086,1510.75
a8b1d5b7,31085,0.26911315,176,654,0,0,893,-893,0,0,916,-916,0,0,916,-916,4601,0.4,0.56,0.252118644,119,472,0.308510638,58,188,0,0,916,-916
a8b69062,22091,0.10120048,843,8330,0.000192994,2,10363,5181.5,0.0000974469,1,10262,10262,0.000877022,9,10262,1140.222222,9295,0.31,0.35,0.125870727,777,6173,0.033260394,76,2285,0.000974469,10,10262,1026.2
a8c49916,05115,0.105107783,5305,50472,0.000642281,41,63835,1556.95122,0.000453125,29,64000,2206.896552,0.00225,144,64000,444.4444444,5216,0.3,0.46,0.129693962,4704,36270,0.044596682,664,14889,0.000609375,39,64000,1641.025641
a8c8e9a9,29186,0.109226689,1565,14328,0.000336266,6,17843,2973.833333,0.00016771,3,17888,5962.666667,0.000950358,17,17888,1052.235294,6390,0.39,0.39,0.12997044,1363,10487,0.054473749,221,4057,0.000447227,8,17888,2236
a8cb8bbd,48277,0.194686477,7731,39710,0.000504164,25,49587,1983.48,0.000603282,30,49728,1657.6,0.001045689,52,49728,956.3076923,5445,0.41,0.48,0.228377273,6419,28107,0.118584505,1451,12236,0.00098536,49,49728,1014.857143
a8d2dcbd,06025,0.079044019,11751,148664,0.000235191,43,182830,4251.860465,0.000335484,61,181827,2980.770492,0.001402432,255,181827,713.0470588,3679,0.32,0.31,0.105686001,10366,98083,0.028775629,1534,53309,0.00061047,111,181827,1638.081081
a8d49bd4,29109,0.136419315,4232,31022,0.000546391,21,38434,1830.190476,0.000417112,16,38359,2397.4375,0.001303475,50,38359,767.18,4553,0.4,0.38,0.168483281,3648,21652,0.06455863,637,9867,0.000703877,27,38359,1420.703704
a8e6bc1a,55051,0.073413204,288,3923,0.000705343,4,5671,1417.75,0.000352361,2,5676,2838,0.001233263,7,5676,810.8571429,2595,0.52,0.42,0.081011018,250,3086,0.044776119,39,871,0.000352361,2,5676,2838
a90027ba,45039,0.116931127,2056,17583,0.000398107,9,22607,2511.888889,0.000267833,6,22402,3733.666667,0.000982055,22,22402,1018.272727,3405,0.47,0.29,0.140269461,1874,13360,0.044354839,198,4464,0.000491028,11,22402,2036.545455
a9061594,38097,0.067367415,423,6279,0.000249594,2,8013,4006.5,0.000248849,2,8037,4018.5,NULL,0,8037,NULL,3605,0.59,0.51,0.068688671,308,4484,0.067021277,126,1880,0.000622123,5,8037,1607.4
a92c9514,36053,0.049842631,2708,54331,0.000563658,40,70965,1774.125,0.000367258,26,70795,2722.884615,0.001977541,140,70795,505.6785714,4447,0.49,0.48,0.057682403,2352,40775,0.02733913,393,14375,0.000904019,64,70795,1106.171875
a942bc19,01125,0.093086831,15936,171195,0.00072181,150,207811,1385.406667,0.000478673,100,208911,2089.11,0.001321137,276,208911,756.923913,5853,0.45,0.44,0.117272621,15015,128035,0.023531743,1069,45428,0.000962132,201,208911,1039.358209
a94737a7,29201,0.120136015,3745,31173,0.000492982,19,38541,2028.473684,0.000598055,23,38458,1672.086957,0.001534141,59,38458,651.8305085,5991,0.4,0.41,0.150565631,3354,22276,0.045698348,426,9322,0.001118103,43,38458,894.372093
a9551648,06021,0.109805441,2551,23232,0.000177974,5,28094,5618.8,0.000784398,22,28047,1274.863636,0.001140942,32,28047,876.46875,5716,0.36,0.37,0.139972493,2239,15996,0.044668588,341,7634,0.000606125,17,28047,1649.823529
a9573f21,27103,0.042276546,1112,26303,0.000912677,31,33966,1095.677419,0.000730567,25,34220,1368.8,0.002659264,91,34220,376.043956,5989,0.55,0.56,0.047177271,895,18971,0.030839297,237,7685,0.000409118,14,34220,2444.285714
a966735e,18009,0.085976268,797,9270,0.000584502,7,11976,1710.857143,0.000167645,2,11930,5965,0.000251467,3,11930,3976.666667,4751,0.35,0.48,0.098324188,663,6743,0.055035567,147,2671,0.000419112,5,11930,2386
a97dc859,26013,0.08009751,460,5743,0.001066224,9,8441,937.8888889,0.000721154,6,8320,1386.666667,0.001322115,11,8320,756.3636364,1394,0.43,0.28,0.092257002,392,4249,0.047828823,76,1589,0.001081731,9,8320,924.4444444
a9877169,21197,0.064329776,657,10213,0.0000808146,1,12374,12374,0.000321492,4,12442,3110.5,0.000723356,9,12442,1382.444444,5167,0.33,0.3,0.076156681,558,7327,0.034868421,106,3040,0.000964475,12,12442,1036.833333
a9af1315,45065,0.120106423,632,5262,0.000419068,4,9545,2386.25,0.00010627,1,9410,9410,0.00063762,6,9410,1568.333333,3318,0.51,0.48,0.136407071,571,4186,0.059344553,67,1129,0.00031881,3,9410,3136.666667
a9d31f02,40073,0.175990854,2309,13120,0.000510562,8,15669,1958.625,0.000569044,9,15816,1757.333333,0.001580678,25,15816,632.64,4695,0.41,0.53,0.205845981,1831,8895,0.116221674,518,4457,0.000632271,10,15816,1581.6
