chr_clinical_care_id,fips_code,uninsured,uninsured_numerator,uninsured_denominator,primary_care_physicians,primary_care_physicians_numerator,primary_care_physicians_denominator,ratio_of_population_to_primary_care_physicians,dentists,dentists_numerator,dentists_denominator,ratio_of_population_to_dentists,mental_health_providers,mental_health_providers_numerator,mental_health_providers_denominator,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,uninsured_adults,uninsured_adults_numerator,uninsured_adults_denominator,uninsured_children,uninsured_children_numerator,uninsured_children_denominator,other_primary_care_providers,other_primary_care_providers_numerator,other_primary_care_providers_denominator,ratio_of_population_to_other_providers
0efe4e10,17181,0.072527637,971,13388,0.000705882,12,17000,1416.666667,0.000593789,10,16841,1684.1,0.001365715,23,16841,732.2173913,5499,0.42,0.52,0.088751395,875,9859,0.028848746,107,3709,0.001365715,23,16841,732.2173913
0f0137fe,31125,0.086287146,241,2793,NULL,0,3607,NULL,0.000566251,2,3532,1766,NULL,0,3532,NULL,5777,0.41,0.19,0.098137896,195,1987,0.060141509,51,848,0.001132503,4,3532,883
0f04f0ee,51089,0.128386795,4947,38532,0.00060515,31,51227,1652.483871,0.000588778,30,50953,1698.433333,0.000117756,6,50953,8492.166667,5683,0.48,0.52,0.154341281,4460,28897,0.052021987,530,10188,0.000157007,8,50953,6369.125
0f18a185,01037,0.130262014,1049,8053,NULL,0,10754,NULL,NULL,0,10715,NULL,0.0000933271,1,10715,10715,4956,0.39,0.39,0.155327545,984,6335,0.038882804,71,1826,0.000186654,2,10715,5357.5
0f1ebec7,27155,0.074602528,183,2453,0.000301296,1,3319,3319,0.000302298,1,3308,3308,NULL,0,3308,NULL,4485,0.51,0.21,0.079888268,143,1790,0.06401138,45,703,0.000604595,2,3308,1654
0f365978,20157,0.104795737,354,3378,0.000852697,4,4691,1172.75,0.000214408,1,4664,4664,0.000428817,2,4664,2332,5348,0.41,0.49,0.118394101,289,2441,0.069486405,69,993,0.001072041,5,4664,932.8
0f4bea87,56021,0.114335454,9326,81567,0.00070174,69,98327,1425.028986,0.000808277,80,98976,1237.2,0.004071694,403,98976,245.5980149,4415,0.41,0.47,0.135572224,7989,58928,0.062024675,1468,23668,0.001454898,144,98976,687.3333333
0f4d026a,39077,0.075945694,3664,48245,0.000393203,23,58494,2543.217391,0.000307671,18,58504,3250.222222,0.001111035,65,58504,900.0615385,5851,0.44,0.49,0.086297223,2965,34358,0.051559081,754,14624,0.001008478,59,58504,991.5932203
0f528e8f,37023,0.146989298,10260,69801,0.000537556,48,89293,1860.270833,0.000420438,38,90382,2378.473684,0.00279923,253,90382,357.2411067,3877,0.48,0.53,0.180080011,9588,53243,0.04321058,758,17542,0.000896196,81,90382,1115.827161
0f543605,47033,0.143249507,1669,11651,NULL,0,14473,NULL,0.000488554,7,14328,2046.857143,0.0000697934,1,14328,14328,6285,0.36,0.43,0.179840464,1488,8274,0.055993247,199,3554,0.000907314,13,14328,1102.153846
0f77b94f,48007,0.223024337,4078,18285,0.000351947,9,25572,2841.333333,0.000294217,7,23792,3398.857143,0.000798588,19,23792,1252.210526,3318,0.41,0.42,0.257031365,3491,13582,0.129786377,644,4962,0.00046234,11,23792,2162.909091
0f9288b5,37159,0.137716835,15497,112528,0.000412389,58,140644,2424.896552,0.000467217,66,141262,2140.333333,0.002244057,317,141262,445.6214511,5276,0.43,0.49,0.173426368,14192,81833,0.044958412,1454,32341,0.000998145,141,141262,1001.858156
0fac2645,47043,0.108802897,4808,44190,0.000359488,19,52853,2781.736842,0.000654867,35,53446,1527.028571,0.000991655,53,53446,1008.415094,6729,0.38,0.5,0.136302547,4361,31995,0.03934554,505,12835,0.001272312,68,53446,785.9705882
0fd8d059,13295,0.152059478,8406,55281,0.000174067,12,68939,5744.916667,0.000144072,10,69410,6941,0.0004034,28,69410,2478.928571,4915,0.38,0.45,0.183664372,7416,40378,0.070499397,1111,15759,0.000216107,15,69410,4627.333333
0fdaa8c8,05079,0.093666709,738,7879,0.000146563,2,13646,6823,0.000149443,2,13383,6691.5,0.001494433,20,13383,669.15,6493,0.35,0.42,0.112653208,625,5548,0.050895766,125,2456,0.000523052,7,13383,1911.857143
0fe46311,13169,0.129363625,3035,23461,0.000245873,7,28470,4067.142857,0.000104837,3,28616,9538.666667,0.000279564,8,28616,3577,5232,0.5,0.45,0.155957875,2636,16902,0.064562617,448,6939,0.000279564,8,28616,3577
0fec3820,48009,0.189782055,1341,7066,NULL,0,8809,NULL,NULL,0,8786,NULL,NULL,0,8786,NULL,4758,0.38,0.46,0.208211714,1070,5139,0.145153434,298,2053,NULL,0,8786,NULL
